Tip Matrice,Tip alocare,Nr threads,Timp executie
,,0,0
,,0,0
,,0,0
,,0,51.6
,,0,52.2
,,4,54.4
,,0,53.4
,,4,53
,,0,53.1
,,0,0.00776
,,0,0.00809
,,4,0.97261
,,0,0.00784
,,0,107.3113
,,2,57.73171
,,4,30.60383
,,8,21.82698
,,16,24.29044
,,0,10.52597
,,2,7.42699
,,4,5.30948
,,8,4.49363
,,16,4.50966
,,0,23.11555
,,2,14.16178
,,4,9.72477
,,8,7.45843
,,16,7.67634
,,0,22.22158
,,0,0.01948
,,4,1.10339
,,0,111.0692
,,0,0.024
,,4,1.0912
,,0,490.9599
,,2,254.366
,,4,133.3661
,,8,80.93825
,,16,88.31287
,,0,50.09932
,,2,26.37867
,,4,15.69062
,,8,15.21811
,,16,11.48163
,,0,52.20556
,,2,27.89024
,,4,16.69741
,,8,14.82615
,,16,12.30753
